date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-06-05,"In Person Meeting with Andersonville Galleria, Owner, Andersenville Galleria","Andersonville galleria is in the Andersonville neighborhood of Chicago which is a hotspot for up and coming fashion designers and artists. This is a large space where multiple business people showcase their artistic creations. We found designers from across the spectrum, starting from very small one of a kind pieces, to designers from New York with presence in multiple boutiques. This place was referred to us by a high end fashion consumer to checkout local boutiques and designers. Spoke to the owner of the place and she said it was a invite only model and to go to their website to submit pics or samples. She said its a different concept compared to regular boutiques or fairs, as it is curated, and has more than 50 businesses year around. &nbsp;",A different format for aspiring artists and fashion designers to sell their stuff. Interested people apply to be featured in the space and the board decides on whom to be featured.,Customer Interview,Customer Relationships,Aspiring independent fashion designers; Access to Fashion Designers; Boutiques(stores/entities who have two or three fashion specialty stores - www.thegreengoddessboutique.com, www.frankiesonthepark.com); Attending fashion events(Fashion Shows, Collection Launches, Fashion Networking parties); Access to Boutiques; Going to Tradeshows
2015-06-05,Phone Call with Scott Gerlach,"Discussed the mail Scott sent with the feedback to the pricing model in detail&nbsp;Hi, Chacko. Amy and I read your docs separately yesterday and spent some time this evening comparing notes. Here are our takeaways:1. We recommend indicating the incentives that your different customer types value. For instance, you note that independent fashion designers can purchase a premium or standard account. But it's not clear what differentiates them at a high level and how the service would be valued by the customer. Just for comparison, Amy and I ran through a similar exercise for a product that's on our back-burner. Even though we're not very precise here and this was only with a 10-minute discussion - and not held up as a polished example - we feel the value exchange is a bit more apparent or at least that our claims of value for the product are somewhat justified. The value chain legitimizes the claims, even if there's a lot of TBD.ConsumersWe are a free service. In exchange for committing data, users receive understanding and visibility about the costs of what they want.BrandsPlacements/Ads - payment in exchange or surfacing brand creative to desired Tally audience, plus data on that audience and data on audience interaction with brand campaign
Unique value prop is much more interactive/engaging ad unit - a “Pinnable”Pricing is CPM, CPC and “CPP”; potentially Cost Per [Some other interaction unit]Data - premium newsletter subscription for discovering shopping research trends, purchase planning trends and budgeting trends and purchasing behaviorUnique value prop is data about purchase intent unavailable elsewhere; more relevant and targeted than ad network inferred intentRetailers Data - same thing but pivoted for retailers (e.g., rollup at store category level)Bounty - We will sell retailers qualified traffic in exchange for a small traffic bounty and a more significant cut of sales on conversions; the retailer incentive is sales with a very low cost of acquisition2. We had trouble differentiating between the stream section and the model section. I think you can conflate the two as we have above. Alternatively, you could do a very terse stream inventory and then make the value exchange clear in the model section. (If you were given a template or there are other class expectations, we don't want to collide with them.)3. The specific prices you list are hard for us to comprehend. They feel high, but we don't have signposts. In other words, without some rationale or comparisons, we don't know how to give you feedback on the specific prices. But we found ourselves wondering if an aspiring designer would spend hundreds of dollars a year vs. buying the tools and materials she needs to make her wares.4. Also gut feel, because you're not clear on what resources the costs cover ... but the costs seem low. Not sure how many of what kind of people you plan to pay what sort of salary, for instance. Would recommend indicating or at least having as an appendix or a backing tab in a spreadsheet.5. As for customer acquisition, you could estimate - even very roughly - the maximum reachable audience for any given channel, the response rate you think you could achieve in that channel and the conversion rate among those who respond. Below is a tiny fragment from that same hypothetical product discussion I mentioned above. In the interest of time, I'm hitting send without proofing. This is hot off the conversation Amy and I were just having. Hope it's useful. Look forward to discussing.",Make sure we have a clear explaination why designers would pay and will find value to spend the money. Split the customer acquisitions into channels with probabilities of success.,Mentor Engagement,Revenue Streams,Level based membership fees for stylists & buyers ... i.e charge for certain features line sheet access, manage appointment, basic analytics and trend forecasting
2015-06-10,Going to Tradeshows,,,Business Model Hypothesis,Customer Relationships,
2015-06-10,Access to Boutiques,,,Business Model Hypothesis,Key Resources,
2015-05-13,"In Person Meeting with Trideep Das, Chairman - Mayor's Fashion Council, Mentor - Chicago Fashion Incubator, JollyBrowne Brand Design","A lot of channels alreadyStory isn’t that usefulWomen collection releases 4 times a yearMen collection releases 2 times a yearfunctionalityif you provide ordering, getting content for marketingrelationship businessability to make the relationship between a buyer and a fashion designerBuyers are consumers (we are getting conditioned to automated NuOrder, JoorAccess)NuOrder, Jooraccess provides product On Demandinventory management is big in fashionFashion should be looked at in the realm of consumer products Fashion: Creating a needtech important in value addition of fashion technology can improve the supply chain of fashionNotion of heritage brands (long history and legacy): big deal today (i.e. Barber)people want authenticity, genuine appreciation of the craftsatisfying that curiosity would be great for Thimblebut needs to satisfy sales, Look at a designer 3-7 years in the industry Not enough money in the startup designerThe supply chain stuff is essentially: If im a brand and I send out stuff to multiple stores and one store does poorly while another does well is there a way to move that inventory around easily to balance out the supply and demandThe other supply chain issue was: There are two ways to sell, through stores or through the website. Often times there isn't a match between the two selling points in terms of product and prices. Is there a way to fix the disparity in the two to have a unified message to users",The next big thing in fashion is disruption in the supply chain. Fashion has been slow in adopting the advances in technology in backend side of the business.,Customer Interview,,Aspiring independent fashion designers; Fashion Buyers - Stores, Boutiques, Other; Boutiques(stores/entities who have two or three fashion specialty stores - www.thegreengoddessboutique.com, www.frankiesonthepark.com); Enterprise/Buyer fees for workflow automation(like ERP, CRM hooks), reporting, content creation etc; Charging publishers/editors for premium content access; City of Chicago - Chicago Fashion Incubator, Mayor's Fashion Council; Retail Stores(Target, Macy's, Barney's, Berghoff Goodman)
2015-05-26,"Phone Call with Zoe Damecela, Fashion Designer, Zoe Damecela","Zoe is a designer for Macy's New York working on their private label line. She also has her own line - Zoe Damecela Apparel, which she sells direct to her customers. She has a website and network extensively to market her pieces.&nbsp;She doesnt beleive too much in social media push as she primarily depends on traditional networking techniques.&nbsp;Most of the networking ranges from small casual one on one meeting to large parties or fashion events. She has a loyal clientele who purchases from her. She has tried wholesale and have tried the tradeshow circuit and she said she didnt have a good experience with it. Since she already had a decent business selling direct to customers, she decided to stick to retail. She said she has never heard of any of our B2B competitiors and thought this mind be a great tool for small designers if we can make it accessible to them. She also asked us to contact Chicago Fashion Incubator and Mayor's Fashion Council as she felt they had similar interests in making fashion more mainstream in Chicago. This is stemming from the industry perception that Chicago is a fashion talent powerhouse, but doesnt have a good fashion industry. Everybody move out to NY or LA once they start a business. She said she is ready to test our platform once we have a working version.",Wholesale and Retail is a totally different business in fashion. Try to solve Chicago's perception in the fashion circle just as a fashion talent creator and not as a fashion business destination,Customer Interview,,Aspiring independent fashion designers; City of Chicago - Chicago Fashion Incubator, Mayor's Fashion Council
2015-06-02,Thimble Presentation 06/02/2015,,,Team Presentation,,
2015-05-22,"In Person Meeting with Masha Titievsky, Independent Fashion Designer, Varyform Design","Tradeshows and boutiques represent a chicken-and-egg problem for a lot of designers in that you have to get into to tradeshows to get into boutiques, and you have to get into boutiques to get into tradeshows. Boutiques usually aren't willing to take a (financial, at the end of the day) risk on new designers.Data points boutique owners and other buyers will care about:Line sheetsPrice points:&nbsp;Wholesale v. retailColorsSizes&nbsp;Simple is better. You need photos for every piece. Lighting must be natural. Colors must be specific.Designers should summarize their collections into one color scheme. Color is the most important thing.Each collection will have mini groups, e.g. ""evening,"" ""sports,"" ""neutral,"" etc. A formal company may have forty different types of pieces within one collection. Designers want cohesive collections, but collections that will also appeal to a wide array of audiences. Thimble should allow designers to segment their collections and consider allowing them to target different buyers based on those segments.Finally, trust is the biggest barrier. A lack of it is the reason it's so hard for new designers to break in. Thimble needs to facilitate honest communication between buyer and designer.","Thimble should create guidelines for image hosting to ensure buyers aren't wasting their time looking at items that don't meet standard specifications (listed in description). Different target groups within each collection allow designers to reach a wide audience while preserving design coherence. Simple is better – fewer colors, fewer types of pieces, fewer groups – because it's easier for the buyer to process. Establishing trust through direct and facile communication is also essential.",Customer Interview,Key Partners,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.; Thimble allows designers to present their collections to buyers
2015-05-19,Phone Call with Jon Friedman,"We gave him an update of where our thinking has shifted in the past two weeks, largely spearheaded by Jon himself. His pivot idea and our own were very similar in that both deal with linking buyers to designers. He said we have to focus on customer acquisition, and the only way to do that seriously at this stage is to get coffee with our people. That's our plan for now – schedule coffee dates with as many designers as possible in the next two weeks, in addition to the trade show.","The ""coffee-shop"" strategy, i.e. sitting down with our ten core people for coffee together, is the only way to have any chance of getting them locked on the platform. Jon said we shouldn't do anything else besides get coffee because nothing else will work at this point.",Mentor Engagement,Value Propositions,Thimble gives buyers a way to discover designers and collections that they want to buy/hire.; Thimble allows designers to present their collections to buyers; Thimble matches designers and buyers based on collection style and end customer persona
2015-05-06,Video Chat with Scott Gerlach,"signup for pinterest api - beta - its a lottery systemfocus on something smallhow to gamify snapchatsometimes viral is big(eg:american giant), somitime viral is small - reward fashionistas with small viral to create big viral- inside view on source, methods, inspirations, for 1000 retweets, they are rewardedtarget early adopter fashionistas - follow people who set trends in fashion",Think hard about the pivot,Mentor Engagement,,Advisory Board members
